GEOID10,GEOID_MUNI,MUN_NAME,SQMI_LAND,CurPEV,FutPEV,CuPEV_SM,FuPEV_SM,FC_KD,FC_CE,FC_KD_SM,FC_CE_SM,FC_KPE,SC_KD,SC_CE,SC_KD_SM,SC_CE_SM,SC_KPE,PC_KD,PC_CE,PC_KD_SM,PC_CE_SM,PC_KPE,PASS_VEH,POP,HOUSUNIT,JOBS,CuPEVPop,FuPEVPop,CuPEV_HU,FuPEV_HU,PerCuPEV,PerFuPEV,FC_KD_JB,FC_CE_JB,SC_KD_JB,SC_CE_JB,PC_KD_JB,PC_CE_JB
420031014003,4200361000,Pittsburgh City,0.050192895,0,10,0.00000,199.23139,2.86657,1,57.11105021,19.9231387,2.866568922,7.311823138,1,145.6744665,19.9231387,7.311823138,0.454917938,1,9.063393167,19.9231387,0.454917938,379,895,475,268,0.00,1.12,0.00,2.11,0,2.570694087,0.010696153,0.003731343,0.027282922,0.003731343,0.001697455,0.003731343
420031014004,4200361000,Pittsburgh City,0.057674782,2,29,34.67720,502.81941,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,611,262,183,0.33,4.75,0.76,11.07,0.427350427,5.858585859,0,0,0,0,0,0
420031016001,4200361000,Pittsburgh City,0.179384994,0,5,0.00000,27.87301,2.42266,1,13.50535755,5.574602312,2.422658478,0.408522915,1,2.277352786,5.574602312,0.408522915,0.119806786,1,0.667875186,5.574602312,0.119806786,378,990,346,297,0.00,0.51,0.00,1.45,0,1.305483029,0.008157099,0.003367003,0.001375498,0.003367003,0.00040339,0.003367003
420031017001,4200361000,Pittsburgh City,0.067382163,0,2,0.00000,29.68145,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,486,230,146,0.00,0.41,0.00,0.87,0,0.78125,0,0,0,0,0,0
420031017002,4200361000,Pittsburgh City,0.084162163,1,7,11.88182,83.17277,12.71324,2,151.0564329,23.76364794,6.356618029,9.198744274,1,109.2978602,11.88182397,9.198744274,1.370629924,1,16.28558348,11.88182397,1.370629924,402,1053,353,316,0.09,0.66,0.28,1.98,0.248756219,1.715686275,0.04023176,0.006329114,0.02910995,0.003164557,0.004337436,0.003164557
420031018001,4200361000,Pittsburgh City,0.15447291,1,46,6.47363,297.78684,15.12058,2,97.88497137,12.94725398,7.56028819,2.590858654,1,16.77225251,6.473626991,2.590858654,0.954494755,1,6.179043007,6.473626991,0.954494755,652,1041,476,312,0.10,4.42,0.21,9.66,0.153374233,6.599713056,0.048463386,0.006410256,0.008304034,0.003205128,0.003059278,0.003205128
420031018002,4200361000,Pittsburgh City,0.307726123,0,20,0.00000,64.99286,10.92539,2,35.50360588,6.499285721,5.462693503,1.873331108,1,6.087657061,3.24964286,1.873331108,0.719301013,1,2.337471402,3.24964286,0.719301013,973,1464,661,439,0.00,1.37,0.00,3.03,0,2.014098691,0.024886986,0.004555809,0.004267269,0.002277904,0.001638499,0.002277904
420031102001,4200361000,Pittsburgh City,0.055904118,1,74,17.88777,1323.69498,4.15900,1,74.39520245,17.88777001,4.158998154,0.739163342,1,13.22198386,17.88777001,0.739163342,0.288385218,1,5.158568448,17.88777001,0.288385218,354,810,517,243,0.12,9.14,0.19,14.31,0.282485876,17.33021077,0.017115219,0.004115226,0.003041824,0.004115226,0.00118677,0.004115226
420031102002,4200361000,Pittsburgh City,0.056073617,0,5,0.00000,89.16850,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,1023,312,307,0.00,0.49,0.00,1.60,0,1.269035533,0,0,0,0,0,0
420031102003,4200361000,Pittsburgh City,0.115134119,2,56,17.37105,486.38927,7.65059,2,66.44935471,17.37104527,3.82529397,1.405966853,1,12.21155693,8.685522634,1.405966853,0.475600047,1,4.130834974,8.685522634,0.475600047,711,946,501,284,0.21,5.92,0.40,11.18,0.281293952,7.320261438,0.02693869,0.007042254,0.004950588,0.003521127,0.001674648,0.003521127
420031102004,4200361000,Pittsburgh City,0.087563723,3,44,34.26076,502.49120,14.64252,2,167.2213596,22.84050908,7.321262367,2.84554385,1,32.49683508,11.42025454,2.84554385,1.047060001,1,11.95769173,11.42025454,1.047060001,583,1481,546,444,0.20,2.97,0.55,8.06,0.51457976,7.051282051,0.032978659,0.004504505,0.006408883,0.002252252,0.002358243,0.002252252
420031106001,4200361000,Pittsburgh City,0.104845269,4,135,38.15146,1287.61175,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,824,405,247,0.49,16.38,0.99,33.33,0.722021661,19.7080292,0,0,0,0,0,0
420031106002,4200361000,Pittsburgh City,0.087944805,3,112,34.11230,1273.52604,0.38615,1,4.390811687,11.37076824,0.386149079,0.062309986,1,0.70851241,11.37076824,0.062309986,0,0,0,0,0,430,901,353,270,0.33,12.43,0.85,31.73,0.697674419,20.77922078,0.001430182,0.003703704,0.000230778,0.003703704,0,0
420031106003,4200361000,Pittsburgh City,0.052453137,1,22,19.06464,419.42201,3.21822,1,61.35413218,19.06463683,3.218216676,0.532692258,1,10.15558445,19.06463683,0.532692258,0.384538157,1,7.331080303,19.06463683,0.384538157,384,798,325,239,0.13,2.76,0.31,6.77,0.260416667,5.432098765,0.013465342,0.0041841,0.002228838,0.0041841,0.001608946,0.0041841
420031113001,4200361000,Pittsburgh City,0.059897572,0,3,0.00000,50.08550,0.00000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,681,310,204,0.00,0.44,0.00,0.97,0,1.003344482,0,0,0,0,0,0
420031113002,4200361000,Pittsburgh City,0.050417992,1,27,19.83419,535.52311,96.82696,10,1920.484318,198.341893,9.682696324,57.41567153,5,1138.793298,99.1709465,11.48313431,10.48164516,2,207.8949342,39.6683786,5.240822578,189,723,296,217,0.14,3.73,0.34,9.12,0.529100529,12.55813953,0.446207204,0.046082949,0.264588348,0.023041475,0.048302512,0.00921659
420031113003,4200361000,Pittsburgh City,0.034922168,0,1,0.00000,28.63511,54.10242,6,1549.228603,171.8106386,9.017070279,15.67836529,3,448.9516589,85.90531932,5.226121763,4.412963443,1,126.3656779,28.63510644,4.412963443,204,442,259,133,0.00,0.23,0.00,0.39,0,0.487804878,0.406785125,0.045112782,0.117882446,0.022556391,0.033180176,0.007518797
