MUN_NAME,GEOID_10,ACRES,USEACRE,EUPOPEM,EMIACRE,EMPOPE,EMSQACRE,EMSQPOPE
Middletown Township,4201749120,12326.5609,0.4132,0.0726,36.5256,6.4147,35.8524,6.2965
Springfield Township,3400569990,18913.2473,0.0203,0.0789,1.9850,7.7121,1.7812,6.9203
Edgewater Park Township,3400520050,1974.3849,0.4102,0.0703,34.7560,5.9537,33.3225,5.7081
Beverly City,3400505740,486.1223,0.3990,0.0656,33.7763,5.5490,33.6773,5.5327
Langhorne Manor Borough,4201741416,403.0484,0.4233,0.0978,37.5526,8.6786,37.2653,8.6122
Bensalem Township,4201705616,13332.3257,0.5862,0.0750,51.8868,6.6387,50.9512,6.5190
Paulsboro Borough,3401557150,1702.2944,2.7564,0.6097,501.4298,110.9123,500.6742,110.7452
Aldan Borough,4204500676,382.3828,0.8650,0.0646,73.7249,5.5039,73.6642,5.4994
Sharon Hill Borough,4204569752,489.2420,1.1529,0.0649,97.5125,5.4918,96.2836,5.4226
Clifton Heights Borough,4204514264,403.3361,1.2461,0.0570,108.9757,4.9800,107.8473,4.9285
Collingdale Borough,4204515232,554.5175,1.1106,0.0565,96.5190,4.9102,96.8492,4.9270
Folcroft Borough,4204526408,905.8779,0.6516,0.0582,56.1425,5.0166,56.0893,5.0118
Tinicum Township,4204576792,5590.0386,0.2528,0.0851,20.6849,6.9665,19.9460,6.7176
Woodlynne Borough,3400782450,142.5424,1.3217,0.0562,116.0062,4.9361,114.1710,4.8580
Haddonfield Borough,3400728770,1817.6987,0.7851,0.0892,64.2559,7.3040,62.3578,7.0882
Oaklyn Borough,3400753880,448.7457,0.8400,0.0757,70.1899,6.3210,68.3856,6.1585
Gloucester City,3400726820,1784.9782,0.8036,0.0458,66.9791,3.8212,65.2303,3.7214
Audubon Borough,3400702200,954.7506,1.0274,0.0845,85.2504,7.0094,85.3412,7.0168
Audubon Park Borough,3400702230,105.1780,0.3385,0.0314,34.9418,3.2437,34.8905,3.2389
Haddon Heights Borough,3400728800,1005.2577,0.8610,0.0617,70.7972,5.0694,68.9740,4.9389
Penndel Borough,4201758936,273.2033,1.3146,0.0991,107.2672,8.0866,107.2971,8.0888
Northampton Township,4201754688,16710.7122,0.2251,0.0693,20.5920,6.3423,20.2709,6.2434
Delanco Township,3400517080,2188.4876,0.1981,0.0756,16.8118,6.4166,14.9516,5.7065
Hatboro Borough,4209133088,904.2265,0.8433,0.0675,73.8976,5.9112,73.9044,5.9117
Upper Moreland Township,4209179176,5105.6810,0.6389,0.0770,54.2195,6.5303,53.1690,6.4038
Lower Moreland Township,4209145008,4650.6588,0.3506,0.0765,29.3287,6.4022,29.1929,6.3725
Darby Township,4204518160,904.7155,0.7629,0.0580,68.4187,5.1968,68.4069,5.1959
Mount Ephraim Borough,3400748750,581.7815,0.7715,0.0777,65.5064,6.5981,63.7167,6.4178
West Deptford Township,3401578800,11410.9569,0.4693,0.1525,36.4022,11.8309,34.4842,11.2076
Lawrence Township,3402139510,14059.9557,0.4404,0.1011,34.7846,7.9852,33.4622,7.6816
West Windsor Township,3402180240,16790.7115,0.3169,0.0822,26.2555,6.8077,24.7753,6.4239
Pennington Borough,3402157600,622.4263,0.6576,0.0817,54.9505,6.8269,53.1697,6.6056
Ewing Township,3402122185,9950.7056,0.6386,0.1084,50.1395,8.5088,48.4889,8.2287
Princeton,3402160900,1168.9039,0.5425,0.1145,41.1285,8.6803,40.7197,8.5940
Upper Makefield Township,4201779128,13894.5403,0.0627,0.0792,6.1059,7.7154,5.7475,7.2625
Yardley Borough,4201786920,645.7150,0.6556,0.0954,56.6347,8.2420,55.9726,8.1457
Newtown Borough,4201754184,350.1923,1.0665,0.0812,89.5434,6.8213,89.5024,6.8181
Bryn Athyn Borough,4209109696,1245.4202,0.1949,0.0861,16.2855,7.1949,15.7015,6.9368
Lower Southampton Township,4201745112,4284.4651,0.5274,0.0699,46.3208,6.1344,46.3862,6.1431
Upper Southampton Township,4201779296,4238.7358,0.4599,0.0777,39.1810,6.6161,39.1208,6.6060
Warminster Township,4201780952,6510.1738,0.5944,0.0795,51.1567,6.8382,50.9633,6.8123
Warrington Township,4201781048,8822.9759,0.2860,0.0753,25.3773,6.6791,25.7548,6.7785
Ivyland Borough,4201737304,228.4781,0.8116,0.0681,68.7918,5.7700,68.6659,5.7594
Collingswood Borough,3400714260,1237.2514,1.1412,0.0771,95.1201,6.4286,93.3940,6.3119
Woodland Township,3400582420,60967.7115,0.0041,0.0672,0.3557,5.8835,-0.8491,-14.0446
Willingboro Township,3400581440,5171.4991,0.5634,0.0738,46.4560,6.0893,44.6090,5.8472
New Hanover Township,3400551510,14433.0614,0.1148,0.1304,9.1372,10.3800,9.7898,11.1213
Riverside Township,3400563510,1047.7995,0.6628,0.0714,56.0631,6.0417,54.2949,5.8511
Westampton Township,3400578200,7099.7875,0.1947,0.0858,16.5781,7.3084,15.0711,6.6440
Newtown Township,4201754192,7626.1010,0.3249,0.0746,28.2360,6.4814,27.9156,6.4078
West Marlborough Township,4202983464,10914.2369,0.0100,0.0945,1.2536,11.8871,0.9519,9.0265
West Nantmeal Township,4202983664,8643.2597,0.0234,0.0714,2.4038,7.3235,2.3505,7.1610
West Nottingham Township,4202983712,9003.2201,0.0501,0.1016,4.9687,10.0707,4.3145,8.7449
Chester City,4204513208,4018.6047,1.3045,0.1139,99.4061,8.6784,99.4375,8.6811
Kennett Township,4202939344,9901.1849,0.1379,0.1106,12.0984,9.7002,11.6930,9.3752
Honey Brook Township,4202935536,16132.1505,0.0445,0.0645,4.3637,6.3340,4.4311,6.4319
London Grove Township,4202944480,11034.5316,0.0751,0.0913,6.8986,8.3835,6.7789,8.2381
Perkasie Borough,4201759384,1622.8220,0.5109,0.0723,50.5640,7.1590,50.4025,7.1361
Plumstead Township,4201761616,17478.0406,0.0963,0.0838,8.9851,7.8154,8.6892,7.5580
Solebury Township,4201771752,17434.8630,0.0700,0.1013,6.1734,8.9411,5.7465,8.3228
Phoenixville Borough,4202960120,2376.2290,0.7687,0.0778,66.5681,6.7331,66.8996,6.7666
Tredyffrin Township,4202977344,12698.8113,0.5340,0.0797,45.4976,6.7929,44.5546,6.6521
Gibbsboro Borough,3400726070,1406.5572,0.2316,0.0789,19.9620,6.8001,19.7363,6.7232
West Rockhill Township,4201783960,10483.4006,0.0873,0.0871,7.7024,7.6873,7.2743,7.2600
Upper Hanover Township,4209179064,13555.3030,0.0758,0.0893,5.8174,6.8524,5.0555,5.9549
Doylestown Township,4201719792,9970.6545,0.2213,0.0761,19.5228,6.7085,19.4716,6.6910
Franklin Township,4202927376,8394.3699,0.0549,0.0899,5.4736,8.9636,5.0900,8.3354
Highland Township,4202934448,10995.0014,0.0140,0.0846,1.6211,9.7719,1.3650,8.2280
Edgmont Township,4204522584,6227.8557,0.0714,0.0704,6.7572,6.6629,5.9336,5.8508
Glenolden Borough,4204529720,619.0898,1.0596,0.0688,91.2706,5.9236,91.1893,5.9183
East Pikeland Township,4202921696,5684.1880,0.1482,0.0826,12.9184,7.2026,12.5825,7.0153
East Whiteland Township,4202922056,7035.0674,0.4836,0.1930,41.9191,16.7312,41.0441,16.3819
Upper Providence Township,4204579248,3699.7280,0.3011,0.0719,25.8080,6.1590,25.2229,6.0193
West Pikeland Township,4202983832,6370.4335,0.0552,0.0696,5.2459,6.6188,4.4868,5.6610
West Sadsbury Township,4202983968,6816.3191,0.0643,0.0957,5.7162,8.5054,5.4289,8.0779
Sadsbury Township,4202967080,3957.2292,0.1316,0.0961,11.7106,8.5485,11.0452,8.0628
Elverson Borough,4202923440,642.6675,0.1917,0.0645,17.9003,6.0230,16.6851,5.6141
Honey Brook Borough,4202935528,305.3326,0.8946,0.1272,69.5949,9.8974,68.4905,9.7403
Lower Chichester Township,4204544888,692.1275,0.5131,0.0732,47.5666,6.7867,47.7005,6.8058
