MUN_NAME,GEOID_10,ACRES,USEACRE,EUPOPEM,EMIACRE,EMPOPE,EMSQACRE,EMSQPOPE
Washington Township,3401577180,13779.0511,0.3571,0.0734,26.4220,5.4309,25.8641,5.3162
Wenonah Borough,3401578110,645.9379,0.3904,0.0909,36.0342,8.3907,35.6661,8.3050
Richland Township,4201764536,13163.6084,0.1047,0.0695,10.4235,6.9183,9.7476,6.4697
Hilltown Township,4201734952,17362.0294,0.0805,0.0654,7.7931,6.3300,7.0451,5.7224
Quakertown Borough,4201763048,1284.2444,1.0010,0.0893,100.0862,8.9254,98.9120,8.8207
Milford Township,4201749384,17909.6227,0.0569,0.0738,5.8528,7.5925,5.2456,6.8048
Red Hill Borough,4209163808,429.1741,0.4060,0.0578,34.0563,4.8494,32.9092,4.6861
New Britain Borough,4201753296,779.5049,0.5424,0.0702,47.9186,6.2038,47.8446,6.1942
Pennsburg Borough,4209159120,504.4392,0.5407,0.0506,48.4858,4.5360,47.1257,4.4088
Marlborough Township,4209147592,8121.9849,0.0379,0.0718,3.7336,7.0751,2.8271,5.3574
Bordentown City,3400506670,617.1725,0.7870,0.0913,64.0264,7.4291,63.7854,7.4011
Fieldsboro Borough,3400523250,223.9361,1.0559,0.3820,78.0413,28.2331,77.6774,28.1014
Falls Township,4201725112,17052.6033,0.2919,0.0992,24.1224,8.1957,24.2053,8.2239
Florence Township,3400523850,6555.5361,0.2374,0.0966,20.1865,8.2133,20.3039,8.2611
Tullytown Borough,4201777744,1323.8226,0.3698,0.0988,31.0418,8.2917,30.9733,8.2734
Mansfield Township,3400543290,14002.0701,0.0739,0.0910,6.1740,7.6046,5.8822,7.2452
East Coventry Township,4202921008,6910.8856,0.0892,0.0745,8.1877,6.8438,7.1583,5.9833
East Vincent Township,4202922000,8733.2910,0.1211,0.0349,10.1154,2.9137,9.8545,2.8386
Lower Pottsgrove Township,4209145072,5119.1539,0.2374,0.0721,20.7821,6.3160,19.4211,5.9024
Douglass Township,4209119672,9863.4584,0.0719,0.0503,6.4904,4.5425,5.9631,4.1735
Aston Township,4204503336,3744.7666,0.4959,0.0795,43.2817,6.9392,43.3151,6.9446
Salford Township,4209167528,6108.2474,0.0450,0.0790,4.5058,7.9087,3.9744,6.9761
Bedminster Township,4201704976,20009.5115,0.0364,0.0818,3.9696,8.9237,3.6312,8.1630
Warwick Township,4201781144,7111.2939,0.2000,0.0688,17.6315,6.0686,17.6905,6.0889
Wrightstown Township,4201786624,6247.2963,0.0837,0.1188,7.1857,10.1932,6.7392,9.5599
Chalfont Borough,4201712504,1052.8449,0.8129,0.1594,71.7513,14.0702,71.6946,14.0591
Doylestown Borough,4201719784,1377.4632,1.0629,0.0780,90.5505,6.6413,90.4442,6.6335
Bethel Township,4204506024,3451.6646,0.2364,0.0712,21.5585,6.4916,21.7084,6.5367
Pottstown Borough,4209162416,3169.8151,0.9918,0.0941,85.0142,8.0632,83.7894,7.9470
West Pottsgrove Township,4209183912,1519.6898,0.3214,0.0911,28.2970,8.0229,27.1812,7.7065
Limerick Township,4209143312,14564.6694,0.1797,0.0863,15.9909,7.6787,15.0705,7.2367
North Coventry Township,4202954936,8693.2947,0.1196,0.0884,10.5535,7.8054,9.4881,7.0174
Upper Uwchlan Township,4202979352,7495.5805,0.1503,0.0715,13.3746,6.3607,12.1746,5.7900
West Grove Borough,4202983104,416.6056,0.6427,0.0758,58.1495,6.8569,56.9269,6.7127
West Bradford Township,4202982544,11870.4497,0.0911,0.0727,8.9026,7.1049,7.8637,6.2757
East Nantmeal Township,4202921576,10474.5407,0.0200,0.0787,2.0035,7.8805,1.4615,5.7487
East Brandywine Township,4202920864,7143.7567,0.0941,0.0676,8.8865,6.3841,7.8377,5.6306
Pocopson Township,4202961800,5329.5946,0.0803,0.0727,7.2254,6.5424,6.5758,5.9542
West Fallowfield Township,4202982936,11661.1647,0.0272,0.0894,2.8102,9.2207,2.5744,8.4471
South Coventry Township,4202972088,4872.3676,0.0612,0.0793,5.6434,7.3091,4.9319,6.3876
Warwick Township,4202981160,12083.3436,0.0198,0.0754,1.8848,7.1982,1.2335,4.7106
South Coatesville Borough,4202972072,1126.0409,0.5044,0.2011,52.0624,20.7520,50.5192,20.1369
Londonderry Township,4202944456,7284.3706,0.0383,0.0566,3.6807,5.4330,3.4616,5.1095
Lower Oxford Township,4202945040,11741.1789,0.0461,0.0787,4.8855,8.3435,4.7765,8.1573
New London Township,4202953816,7513.5905,0.0595,0.0719,5.8443,7.0654,5.4835,6.6292
Marcus Hook Borough,4204547344,1059.7034,1.0262,0.2010,106.1335,20.7854,106.1241,20.7836
Woolwich Township,3401582840,13678.2524,0.0981,0.0898,8.1677,7.4789,7.0222,6.4300
Swarthmore Borough,4204575648,895.2820,0.7941,0.0801,65.0943,6.5695,63.9052,6.4495
Rose Valley Borough,4204566192,470.5590,0.2143,0.0809,17.9473,6.7779,16.7509,6.3261
Eddystone Borough,4204522296,1085.0594,0.9747,0.2187,69.9441,15.6934,69.9190,15.6878
Upper Pottsgrove Township,4209179240,3203.5030,0.1479,0.0713,13.3292,6.4269,11.8309,5.7044
Lower Providence Township,4209145080,9877.4186,0.3188,0.0804,28.5530,7.1981,28.2777,7.1287
Hopewell Township,3402133180,37694.3562,0.0837,0.0947,7.3465,8.3155,6.5988,7.4691
East Greenville Borough,4209121200,321.6978,0.6439,0.0570,54.0708,4.7840,52.8769,4.6783
Telford Borough,4209176304,310.1448,0.7182,0.0673,65.2399,6.1111,64.1326,6.0074
Penn Township,4202958808,6160.9675,0.1041,0.0765,9.2953,6.8250,9.0736,6.6621
East Caln Township,4202920920,2357.3118,0.3182,0.0822,27.3245,7.0574,27.0546,6.9876
Birmingham Township,4202906544,4173.2943,0.1196,0.0855,10.4686,7.4873,9.9559,7.1206
Norwood Borough,4204555664,522.6265,0.7832,0.0582,69.0280,5.1259,67.7926,5.0341
Media Borough,4204548480,489.0968,2.3152,0.0657,190.6670,5.4076,189.5313,5.3754
Marple Township,4204547616,6766.0725,0.4147,0.0743,35.4934,6.3584,34.5081,6.1819
Morton Borough,4204551176,228.5631,1.1073,0.0635,97.2963,5.5805,96.1647,5.5156
Prospect Park Borough,4204562792,480.4858,1.1487,0.0673,98.6520,5.7757,97.6561,5.7174
Ridley Park Borough,4204564832,690.4815,1.0754,0.0452,90.7485,3.8101,89.6070,3.7621
Willistown Township,4202985352,11668.0820,0.1360,0.0844,11.9025,7.3868,11.2324,6.9709
Spring City Borough,4202972920,528.5956,0.7533,0.0930,65.2095,8.0517,65.1865,8.0489
Elk Township,4202923032,6449.8710,0.0211,0.0693,2.2279,7.3278,1.7502,5.7565
Upper Providence Township,4209179256,11611.3403,0.3795,0.0963,32.1780,8.1693,30.8889,7.8420
New Garden Township,4202953608,10408.2407,0.1976,0.1104,17.8083,9.9492,17.7530,9.9183
Middletown Township,4204549136,8601.8167,0.2860,0.0818,24.8472,7.1069,23.8559,6.8233
Logan Township,3401541160,16829.0743,0.1501,0.1608,12.0623,12.9223,11.2686,12.0721
Kennett Square Borough,4202939352,691.4757,1.3250,0.0767,113.8490,6.5883,113.8576,6.5888
Modena Borough,4202950232,228.9501,1.2809,0.4498,87.1688,30.6094,85.3924,29.9856
East Bradford Township,4202920824,9683.0486,0.0805,0.0656,7.5147,6.1240,7.1723,5.8450
Durham Township,4201720480,5926.9268,0.0204,0.0864,2.3335,9.8929,1.7213,7.2974
Riegelsville Borough,4201764856,691.6843,0.1400,0.0969,13.7070,9.4809,13.3976,9.2669
Nockamixon Township,4201754576,14371.7459,0.0305,0.0888,3.0694,8.9443,2.4952,7.2709
Haycock Township,4201733224,13493.6274,0.0164,0.0819,1.7086,8.5262,1.3062,6.5184
East Windsor Township,3402119780,10018.4574,0.3524,0.0784,29.2439,6.5082,28.2041,6.2768
Tinicum Township,4201776784,19827.4135,0.0256,0.0925,2.6083,9.4115,2.0991,7.5742
Springfield Township,4201773016,19606.3351,0.0222,0.0668,2.4192,7.2859,2.0263,6.1026
Bridgeton Township,4201708592,4277.0851,0.0314,0.0832,2.9711,7.8588,2.2168,5.8637
Wrightstown Borough,3400582960,1186.7888,0.2077,0.0684,16.1636,5.3197,15.6841,5.1619
Pemberton Township,3400557510,40148.0626,0.0614,0.0708,5.4886,6.3310,4.6988,5.4200
Medford Township,3400545120,25458.7591,0.0961,0.1010,8.3187,8.7464,7.7631,8.1622
Haddon Township,3400728740,1807.6654,0.9371,0.0954,79.2253,8.0624,77.4076,7.8774
